day_number,tests,positives
1,5464,349
2,4952,307
3,5486,329
4,4664,305
5,4487,236
6,5943,334
7,4870,233
8,5108,299
9,5107,316
10,5959,288
11,3978,144
12,4426,206
13,5331,212
14,6571,301
15,6933,347
16,7307,396
17,6716,327
18,6672,241
19,6183,312
20,7152,304
21,6601,266
22,7870,350
23,9385,431
24,7220,334
25,5332,236
26,5227,171
27,6641,206
28,7705,305
29,7820,333
30,8672,388
31,9036,374
32,8147,301
33,5127,199
34,8307,324
35,7979,306
36,10953,402
37,10215,445
38,7845,284
39,7817,297
40,6403,231
41,6997,306
42,8234,401
43,10554,451
44,7723,392
45,10787,560
46,6757,339
47,6396,290
48,6603,295
49,8906,372
50,10574,523
51,9384,490
52,9141,529
53,6867,359
54,9924,418
55,8091,366
56,6758,378
57,9922,509
58,10049,532
59,9043,424
60,8805,486
61,7992,377
62,6027,272
63,6295,301
64,10431,522
65,10033,562
66,7876,339
67,9689,603
68,7483,349
69,7229,362
70,9348,469
71,9677,541
72,9908,491
73,8960,547
74,7967,444
75,7758,477
76,7045,373
77,5935,323
78,8410,479
79,8267,394
80,8880,526
81,7882,492
82,4877,328
83,5603,241
84,6687,281
85,20212,882
86,10214,577
87,7853,467
88,5092,302
89,8830,529
90,6214,300
91,5059,198
92,7959,321
93,8658,504
94,8308,462
95,7931,392
96,5647,299
97,7134,297
98,7495,349
99,11401,537
100,11599,475
101,9533,527
102,6596,360
103,6942,258
104,6418,231
105,8577,394
106,11243,464
107,11639,518
108,9626,447
109,8390,479
110,7822,374
111,6406,272
112,10120,385
113,12508,591
114,12815,458
115,10494,493
116,8385,397
117,8426,393
118,6586,284
119,11715,449
120,12922,608
121,12786,631
122,14131,752
123,10882,665
124,10556,766
125,8382,557
126,8709,492
127,14610,937
128,14578,903
129,16706,1370
130,11169,883
131,10455,795
132,9773,679
133,14137,1123
134,15414,1203
135,14053,987
136,14344,1274
137,12893,1304
138,11295,1010
139,10261,868
140,11722,1097
141,18339,1808
142,17412,1993
143,19521,2279
144,15902,1848
145,14985,1759
146,11229,1220
147,14510,1857
148,16065,2108
149,17132,2293
150,17312,2666
151,14187,2181
152,19846,3004
153,15088,2333
154,15568,2179
155,18712,3298
156,21629,3372
